"mfr_id","user_id","city_name","mfr_distance","start_point_lng","start_point_lat","end_point_lng","end_point_lat","start_type","end_type","walk","bike","bus","car_pooling","car","motorbike","frequency","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_time","end_time","created_at","deleted_at"
NULL,4542,"Amsterdam",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,3635,"Palermo",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1071,908,"Amsterdam",10,4.9557763,52.297185,4.9303204,52.3870346,1,2,0,0,90,0,0,0,1,false,false,true,false,true,true,false,"7:30","16:15","2019-02-27 15:58:14.91804",NULL
787,624,"Palermo",0,13.3415266,38.1326593,13.3415266,38.1326593,1,2,10000,0,0,0,0,0,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-01-09 14:35:13.838816",NULL
1383,969,"Barcelona",0,2.0769556,41.4903588,2.0733333,41.4874943,1,2,6000,2000,9000,0,0,0,1,true,true,true,true,true,false,false,"9:00","14:13","2019-03-11 13:16:05.284541",NULL
NULL,3073,"Teresina",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,3826,"Fundão",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
336,323,"Barcelona",2,2.1726905,41.406735,2.1918516,41.3917263,1,2,50,100,75,0,0,25,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2018-10-11 09:19:21.987776",NULL
NULL,4383,"Palermo",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2379,2009,"Barcelona",1,2.12747757165945,41.3903452632295,2.1115691,41.3851696,1,4,9000,0,8000,0,0,0,1,true,true,true,true,true,false,false,"9:30","22:30","2019-06-01 16:19:16.490385","2019-06-02 07:42:58.85199"
