"user_id","d_2018_9_24","d_2018_09_25","d_2018_09_26","d_2018_09_27","d_2018_09_28","d_2018_09_29","d_2018_09_30","d_2018_10_01","d_2018_10_02","d_2018_10_03","d_2018_10_04","d_2018_10_05","d_2018_10_06","d_2018_10_07","d_2018_10_08","d_2018_10_09","d_2018_10_10","d_2018_10_11","d_2018_10_12","d_2018_10_13","d_2018_10_14","d_2018_10_15","d_2018_10_16","d_2018_10_17","d_2018_10_18","d_2018_10_19","d_2018_10_20","d_2018_10_21","d_2018_10_22","d_2018_10_23","d_2018_10_24","d_2018_10_25","d_2018_10_26","d_2018_10_27","d_2018_10_28","d_2018_10_29","d_2018_10_30","d_2018_10_31","d_2018_11_01","d_2018_11_02","d_2018_11_03","d_2018_11_04","d_2018_11_05","d_2018_11_06","d_2018_11_07","d_2018_11_08","d_2018_11_09","d_2018_11_10","d_2018_11_11","d_2018_11_12","d_2018_11_13","d_2018_11_14","d_2018_11_15","d_2018_11_16","d_2018_11_17","d_2018_11_18","d_2018_11_19","d_2018_11_20","d_2018_11_21","d_2018_11_22","d_2018_11_23","d_2018_11_24","d_2018_11_25","d_2018_11_26","d_2018_11_27","d_2018_11_28","d_2018_11_29","d_2018_11_30","d_2018_12_01","d_2018_12_02","d_2018_12_03","d_2018_12_04","d_2018_12_05","d_2018_12_06","d_2018_12_07","d_2018_12_08","d_2018_12_09","d_2018_12_10","d_2018_12_11","d_2018_12_12","d_2018_12_13","d_2018_12_14","d_2018_12_15","d_2018_12_16","d_2018_12_17","d_2018_12_18","d_2018_12_19","d_2018_12_20","d_2018_12_21","d_2018_12_22","d_2018_12_23","d_2018_12_24","d_2018_12_25","d_2018_12_26","d_2018_12_27","d_2018_12_28","d_2018_12_29","d_2018_12_30","d_2018_12_31","d_2019_01_01","d_2019_01_02","d_2019_01_03","d_2019_01_04","d_2019_01_05","d_2019_01_06","d_2019_01_07","d_2019_01_08"
67,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
68,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
69,NULL,849,2450,1750,1784,1788,1260,1581,1291,1688,1276,1473,1758,587,1177,1969,2714,0,NULL,NULL,NULL,778,NULL,NULL,NULL,NULL,NULL,NULL,115,1004,1815,1328,1490,1822,NULL,1191,947,1707,NULL,NULL,NULL,1099,1825,639,1173,NULL,653,NULL,NULL,756,NULL,1876,1654,1755,NULL,NULL,841,1799,1769,1128,2048,1643,NULL,NULL,783,940,1767,1889,1900,NULL,NULL,2060,NULL,992,1673,NULL,782,957,2084,914,1540,1001,NULL,NULL,765,683,2530,1432,1630,1127,NULL,NULL,259,NULL,1080,1711,1416,1342,659,NULL,872,1455,795,1423,879,1812,988
70,1446,1496,971,2760,2503,1163,1622,2237,2842,3066,2189,875,1488,NULL,4087,1232,987,3066,2665,871,189,2223,1871,1602,3140,NULL,NULL,NULL,NULL,2575,4655,3352,1414,730,NULL,469,NULL,848,NULL,NULL,NULL,903,3323,1154,NULL,3076,249,NULL,NULL,2275,902,4505,2400,3587,1695,NULL,1301,3988,NULL,2368,314,1612,233,1184,NULL,3604,127,NULL,147,NULL,NULL,NULL,1404,7756,NULL,NULL,NULL,1768,3812,3611,3527,1666,579,NULL,NULL,4490,8045,NULL,NULL,476,2460,1704,NULL,NULL,1742,NULL,1913,331,1266,366,2060,1885,NULL,NULL,NULL,1757,NULL
71,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
72,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
73,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
74,NULL,552,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
76,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
