id;created_at;updated_at;description;obtainable_coins
1;2018-11-07 15:32:29.111064;2018-11-07 15:32:29.111090;1.1.4 Bonus #1;1
2;2018-11-07 15:33:11.355487;2018-11-07 15:33:11.355510;1.3.5 Bonus #3;3
3;2018-11-07 15:33:33.583097;2018-11-07 15:33:33.583120;2.1.4 Bonus #1;1
4;2018-11-07 15:33:59.520199;2018-11-07 15:33:59.520223;2.3.5 Bonus #3;3
5;;;3.1.4 Bonus #1;1
6;;;3.3.5 Bonus #3;3
